"sliderNorm","slider","condition","item","bin_number","sample_number"
0.00310232168866485,0.0195,"none","bur",12,1
0.00408666874449939,0.025,"none","bur",13,1
0.00254801959835259,0.017,"none","bur",14,1
0.00202783000383869,0.0125,"none","bur",15,1
0.0752997446355197,0.380526315789474,"none","cig",1,1
0.0729612140796484,0.402105263157895,"none","cig",2,1
0.0767543201618452,0.455789473684211,"none","cig",3,1
0.0813437076338389,0.517894736842105,"none","cig",4,1
0.0876130679797014,0.563157894736842,"none","cig",5,1
0.0872070598186397,0.573157894736842,"none","cig",6,1
0.0779465524797486,0.557894736842105,"none","cig",7,1
0.0658590001131321,0.482631578947368,"none","cig",8,1
0.0546258904094147,0.402105263157895,"none","cig",9,1
0.0396799539443435,0.296842105263158,"none","cig",10,1
0.0268879170911569,0.194736842105263,"none","cig",11,1
0.0178419773234616,0.128421052631579,"none","cig",12,1
0.0135671947038174,0.101052631578947,"none","cig",13,1
0.010806765796748,0.08,"none","cig",14,1
0.0273951075131944,0.119473684210526,"none","cig",15,1
0.024005600015618,0.16,"none","eat",1,1
0.0390186472427354,0.266666666666667,"none","eat",2,1
0.0976490922535065,0.565238095238095,"none","eat",3,1
0.125260015404752,0.671428571428571,"none","eat",4,1
0.127427037972066,0.680952380952381,"none","eat",5,1
0.123474663430745,0.655714285714286,"none","eat",6,1
0.115535543275746,0.568095238095238,"none","eat",7,1
0.0514019044709285,0.30047619047619,"none","eat",8,1
0.0436478213148651,0.267142857142857,"none","eat",9,1
0.0378992916918872,0.227142857142857,"none","eat",10,1
0.0179993748340048,0.123333333333333,"none","eat",11,1
0.0171271972819684,0.111904761904762,"none","eat",12,1
0.0131704189394251,0.0857142857142857,"none","eat",13,1
0.0116374928768916,0.0742857142857143,"none","eat",14,1
0.0118887561377175,0.0709523809523809,"none","eat",15,1
0.0228946682955446,0.105714285714286,"none","edu",1,1
0.0288079574244766,0.13,"none","edu",2,1
0.0288002700347325,0.137619047619048,"none","edu",3,1
0.0352359495453817,0.182857142857143,"none","edu",4,1
0.0645230233878765,0.333809523809524,"none","edu",5,1
0.14328164083495,0.757142857142857,"none","edu",6,1
0.135325264995205,0.746190476190476,"none","edu",7,1
0.126538313999728,0.716190476190476,"none","edu",8,1
0.0807384025446926,0.487619047619048,"none","edu",9,1
0.0327050375375242,0.2,"none","edu",10,1
0.014063260688994,0.0880952380952381,"none","edu",11,1
0.00899996941590525,0.0552380952380952,"none","edu",12,1
0.00577978935301706,0.0352380952380952,"none","edu",13,1
