"","condition","item","sliderNorm1","sliderNorm2","sliderNorm3","sliderNorm4","sliderNorm5","sliderNorm6","sliderNorm7","sliderNorm8","sliderNorm9","sliderNorm10","sliderNorm11","sliderNorm12","sliderNorm13","sliderNorm14","sliderNorm15","condItemMeans"
"13","few","shoe",0.302132235044198,0.285034939282638,0.1714823706485,0.0902909415336434,0.049277876687318,0.032851550691507,0.0155886775839081,0.0108527060911243,0.00973154813768914,0.0100645157494806,0.00575546600951211,0.00602188615583468,0.00449533808121824,0.00335459242445942,0.00306535587896934,2.862439948983
"14","few","trav",0.242624351403975,0.196535824761048,0.156218267731021,0.102163683659028,0.0886994225272243,0.0505335060719278,0.0311117078448802,0.0267383089241714,0.0247971434051518,0.0196606601553792,0.0189060812525928,0.0147442230534153,0.0115556151674844,0.00828020897461497,0.00743099506808655,3.87368142559333
"15","few","tv",0.224361560282805,0.234777114591397,0.189547579215612,0.109578973528218,0.0878580343155431,0.0634307493016577,0.0389192463693477,0.0210286540017778,0.010896415961793,0.00624729736341676,0.00390559494787942,0.00290017228278358,0.00218906893616882,0.00221042746271224,0.0021491114388872,3.29135792655448
"16","many","bas",0.015375530805984,0.026197037609752,0.0345705544546769,0.0388154558302573,0.0402986862955996,0.0672705066656,0.0703208070588041,0.0923064845832705,0.10889903324694,0.134975369649255,0.146939572565611,0.104615360385741,0.065541993844739,0.0381968256915014,0.0156767813122677,8.98607490817221
"17","many","book",0.0317280834934267,0.0334895744619214,0.0374685983948111,0.0510580081784595,0.0804958010557367,0.088591302265097,0.0960868611046079,0.0991655342297353,0.0919085343235057,0.0883214202821539,0.082993690835122,0.0672029705974458,0.0638928022990636,0.0462880061783434,0.0413088123005699,8.34333213973691
"18","many","bur",0.0760137080548204,0.0971382199023359,0.128305978594206,0.136257125873109,0.11262768027083,0.0901749115263336,0.0789365388601428,0.0660821079634125,0.0508465559942737,0.0426700450324398,0.0347588715509689,0.0258794514535213,0.0231243128687683,0.0195917361077327,0.0175927559471047,5.80164926415959
"19","many","cig",0.0738924882603603,0.105441459384031,0.0986369319021046,0.0904580102928298,0.0871216587825522,0.0854591064047699,0.0886058580644919,0.08615105373573,0.0667113462307329,0.0566578381028229,0.047568238552529,0.0377260924136928,0.0312311574031989,0.0233906126574536,0.0209481478127,6.39097068336811
"20","many","eat",0.0335858008861557,0.0501738378108131,0.0810971690737651,0.111236204638708,0.121348589058042,0.0958619395465868,0.0923780526868891,0.0802039452208261,0.0663587616038267,0.0631095937240016,0.0571890301888048,0.043821630547834,0.0408981022599778,0.0344833954786696,0.0282539472751,7.11387808096137
"21","many","edu",0.0256085155784478,0.0289437440009276,0.0365937661405252,0.0452320024006811,0.0522342912168034,0.0735792202342562,0.104305640872011,0.129267336895726,0.137301388835948,0.133911574743015,0.0940730940943865,0.0595268692650239,0.0445669745590742,0.018667513880669,0.016188067282505,8.24862185637117
"22","many","girl",0.0127776728057628,0.0150507233909736,0.0434075954137287,0.0690720031288202,0.115622297456158,0.125774266163818,0.122246615235085,0.114891975898243,0.0957780582540612,0.0815163917102142,0.0616913838085579,0.0485651847811476,0.035244199093743,0.0320825912195884,0.0262790416400979,7.79707948699038
"23","many","hair",0.0192975644389289,0.039186419951407,0.100642019507812,0.119436050188994,0.137013098569363,0.134644726611919,0.120057381492058,0.0846056073541425,0.0657976537622197,0.0462821603496198,0.0307429192524146,0.0309191060408793,0.0279793975810135,0.0230240552797052,0.0203718396195238,6.64336945380222
