"X","condition","item","condItemMeans","bin","sliderNorm"
18,"posterior","bur",5.80164926415959,3,0.128305978594206
19,"posterior","cig",6.39097068336811,3,0.0986369319021046
20,"posterior","eat",7.11387808096137,3,0.0810971690737651
21,"posterior","edu",8.24862185637117,3,0.0365937661405252
22,"posterior","girl",7.79707948699038,3,0.0434075954137287
23,"posterior","hair",6.64336945380222,3,0.100642019507812
24,"posterior","kid",7.38607282638863,3,0.0293923938984011
25,"posterior","mov",6.3681039193107,3,0.0960487221028872
26,"posterior","move",9.71250933159632,3,0.0167674285665043
27,"posterior","poem",7.60141112493844,3,0.0593107300126265
28,"posterior","shoe",6.77645902173754,3,0.0793467365188543
29,"posterior","trav",7.94863630180204,3,0.0509819135324507
30,"posterior","tv",7.62803342680322,3,0.0613849589355518
31,"prior","bas",7.42562219319647,3,0.0677423798812113
32,"prior","book",5.98093864887067,3,0.0872413644958748
33,"prior","bur",3.48677421415815,3,0.188984588002619
34,"prior","cig",6.11136499317139,3,0.0898011989756371
35,"prior","eat",5.39793642761005,3,0.129540437206074
36,"prior","edu",7.10766420118324,3,0.0276154136114124
37,"prior","girl",4.41496839039785,3,0.1791449700713
38,"prior","hair",3.58203742797304,3,0.21175730996676
39,"prior","kid",3.59969712390235,3,0.221465406764804
40,"prior","mov",4.1349947198145,3,0.17106469650221
41,"prior","move",8.31838728526878,3,0.0083538018733715
42,"prior","poem",5.14181626199972,3,0.144533711292807
43,"prior","shoe",4.63688312437609,3,0.160062310988639
44,"prior","trav",5.72925195978578,3,0.141864588899082
45,"prior","tv",5.56796583983795,3,0.119474308624618
16,"posterior","bas",8.98607490817221,4,0.0388154558302573
17,"posterior","book",8.34333213973691,4,0.0510580081784595
18,"posterior","bur",5.80164926415959,4,0.136257125873109
19,"posterior","cig",6.39097068336811,4,0.0904580102928298
20,"posterior","eat",7.11387808096137,4,0.111236204638708
21,"posterior","edu",8.24862185637117,4,0.0452320024006811
22,"posterior","girl",7.79707948699038,4,0.0690720031288202
23,"posterior","hair",6.64336945380222,4,0.119436050188994
24,"posterior","kid",7.38607282638863,4,0.0712435586788038
25,"posterior","mov",6.3681039193107,4,0.134298852028727
26,"posterior","move",9.71250933159632,4,0.0188481737318573
27,"posterior","poem",7.60141112493844,4,0.0763628931630689
28,"posterior","shoe",6.77645902173754,4,0.106561400835741
29,"posterior","trav",7.94863630180204,4,0.0702231081801531
30,"posterior","tv",7.62803342680322,4,0.0814805898235749
31,"prior","bas",7.42562219319647,4,0.0615999811115705
32,"prior","book",5.98093864887067,4,0.13254007712536
33,"prior","bur",3.48677421415815,4,0.113207946680887
34,"prior","cig",6.11136499317139,4,0.0936343422428854
35,"prior","eat",5.39793642761005,4,0.166018846336553
36,"prior","edu",7.10766420118324,4,0.0409255022231402
37,"prior","girl",4.41496839039785,4,0.144599466484739
38,"prior","hair",3.58203742797304,4,0.146184994317287
39,"prior","kid",3.59969712390235,4,0.17325647646475
40,"prior","mov",4.1349947198145,4,0.11899056617192
41,"prior","move",8.31838728526878,4,0.0101152660769436
42,"prior","poem",5.14181626199972,4,0.12185259743502
43,"prior","shoe",4.63688312437609,4,0.130330420926492
44,"prior","trav",5.72925195978578,4,0.130063728641438
45,"prior","tv",5.56796583983795,4,0.12868881219874
16,"posterior","bas",8.98607490817221,5,0.0402986862955996
17,"posterior","book",8.34333213973691,5,0.0804958010557367
18,"posterior","bur",5.80164926415959,5,0.11262768027083
19,"posterior","cig",6.39097068336811,5,0.0871216587825522
20,"posterior","eat",7.11387808096137,5,0.121348589058042
21,"posterior","edu",8.24862185637117,5,0.0522342912168034
22,"posterior","girl",7.79707948699038,5,0.115622297456158
23,"posterior","hair",6.64336945380222,5,0.137013098569363
24,"posterior","kid",7.38607282638863,5,0.149532416610064
25,"posterior","mov",6.3681039193107,5,0.134212208618586
26,"posterior","move",9.71250933159632,5,0.021332104607521
27,"posterior","poem",7.60141112493844,5,0.0925638671657207
28,"posterior","shoe",6.77645902173754,5,0.122442602401119
29,"posterior","trav",7.94863630180204,5,0.0908819137064752
30,"posterior","tv",7.62803342680322,5,0.101822780601197
31,"prior","bas",7.42562219319647,5,0.0626761849534253
32,"prior","book",5.98093864887067,5,0.159559789646015
33,"prior","bur",3.48677421415815,5,0.0855889322153617
34,"prior","cig",6.11136499317139,5,0.099331263500418
35,"prior","eat",5.39793642761005,5,0.155991078282431
36,"prior","edu",7.10766420118324,5,0.091752877919448
37,"prior","girl",4.41496839039785,5,0.100966762727936
38,"prior","hair",3.58203742797304,5,0.0867311703759912
39,"prior","kid",3.59969712390235,5,0.0953315335371354
40,"prior","mov",4.1349947198145,5,0.0847443575028696
41,"prior","move",8.31838728526878,5,0.0165556546684209
42,"prior","poem",5.14181626199972,5,0.116740850873976
43,"prior","shoe",4.63688312437609,5,0.111326630198025
44,"prior","trav",5.72925195978578,5,0.120378658698446
45,"prior","tv",5.56796583983795,5,0.122981737183074
16,"posterior","bas",8.98607490817221,6,0.0672705066656
17,"posterior","book",8.34333213973691,6,0.088591302265097
18,"posterior","bur",5.80164926415959,6,0.0901749115263336
19,"posterior","cig",6.39097068336811,6,0.0854591064047699
20,"posterior","eat",7.11387808096137,6,0.0958619395465868
21,"posterior","edu",8.24862185637117,6,0.0735792202342562
22,"posterior","girl",7.79707948699038,6,0.125774266163818
23,"posterior","hair",6.64336945380222,6,0.134644726611919
24,"posterior","kid",7.38607282638863,6,0.173448240073885
25,"posterior","mov",6.3681039193107,6,0.137640801408937
26,"posterior","move",9.71250933159632,6,0.027502433320081
27,"posterior","poem",7.60141112493844,6,0.101086876231145
28,"posterior","shoe",6.77645902173754,6,0.127374567358834
29,"posterior","trav",7.94863630180204,6,0.099451987777213
30,"posterior","tv",7.62803342680322,6,0.0912589541988515
31,"prior","bas",7.42562219319647,6,0.0676764558569036
32,"prior","book",5.98093864887067,6,0.13836390637814
33,"prior","bur",3.48677421415815,6,0.0524278051313777
34,"prior","cig",6.11136499317139,6,0.0994779671039715
35,"prior","eat",5.39793642761005,6,0.120923525053456
36,"prior","edu",7.10766420118324,6,0.196900580452557
37,"prior","girl",4.41496839039785,6,0.0735576585980072
38,"prior","hair",3.58203742797304,6,0.0534628717873903
39,"prior","kid",3.59969712390235,6,0.0616176139332905
40,"prior","mov",4.1349947198145,6,0.0637736899136023
41,"prior","move",8.31838728526878,6,0.126017665901089
42,"prior","poem",5.14181626199972,6,0.100752494292706
43,"prior","shoe",4.63688312437609,6,0.0814151701428053
44,"prior","trav",5.72925195978578,6,0.103239970592771
45,"prior","tv",5.56796583983795,6,0.102612622468975
16,"posterior","bas",8.98607490817221,7,0.0703208070588041
17,"posterior","book",8.34333213973691,7,0.0960868611046079
18,"posterior","bur",5.80164926415959,7,0.0789365388601428
19,"posterior","cig",6.39097068336811,7,0.0886058580644919
20,"posterior","eat",7.11387808096137,7,0.0923780526868891
21,"posterior","edu",8.24862185637117,7,0.104305640872011
22,"posterior","girl",7.79707948699038,7,0.122246615235085
23,"posterior","hair",6.64336945380222,7,0.120057381492058
24,"posterior","kid",7.38607282638863,7,0.155157456666526
25,"posterior","mov",6.3681039193107,7,0.115426041846511
26,"posterior","move",9.71250933159632,7,0.0727956761989945
27,"posterior","poem",7.60141112493844,7,0.0964102032422781
28,"posterior","shoe",6.77645902173754,7,0.121187357245343
29,"posterior","trav",7.94863630180204,7,0.105528247845717
30,"posterior","tv",7.62803342680322,7,0.0894222321706453
31,"prior","bas",7.42562219319647,7,0.0830156360485279
32,"prior","book",5.98093864887067,7,0.109092642927564
33,"prior","bur",3.48677421415815,7,0.0356211734552949
34,"prior","cig",6.11136499317139,7,0.101451098064556
35,"prior","eat",5.39793642761005,7,0.0788758785815682
36,"prior","edu",7.10766420118324,7,0.191538140538901
37,"prior","girl",4.41496839039785,7,0.0525517887440577
38,"prior","hair",3.58203742797304,7,0.0341444407664421
39,"prior","kid",3.59969712390235,7,0.0388984188857517
40,"prior","mov",4.1349947198145,7,0.0450244990293689
41,"prior","move",8.31838728526878,7,0.184135762406143
42,"prior","poem",5.14181626199972,7,0.0819057397186466
43,"prior","shoe",4.63688312437609,7,0.0618244295927288
44,"prior","trav",5.72925195978578,7,0.0904864482491672
45,"prior","tv",5.56796583983795,7,0.0990870510271983
16,"posterior","bas",8.98607490817221,8,0.0923064845832705
17,"posterior","book",8.34333213973691,8,0.0991655342297353
18,"posterior","bur",5.80164926415959,8,0.0660821079634125
19,"posterior","cig",6.39097068336811,8,0.08615105373573
20,"posterior","eat",7.11387808096137,8,0.0802039452208261
21,"posterior","edu",8.24862185637117,8,0.129267336895726
22,"posterior","girl",7.79707948699038,8,0.114891975898243
23,"posterior","hair",6.64336945380222,8,0.0846056073541425
24,"posterior","kid",7.38607282638863,8,0.12611304079325
25,"posterior","mov",6.3681039193107,8,0.0872179191674097
26,"posterior","move",9.71250933159632,8,0.108780680429709
27,"posterior","poem",7.60141112493844,8,0.0917238416886903
28,"posterior","shoe",6.77645902173754,8,0.107751542733698
29,"posterior","trav",7.94863630180204,8,0.0960659413991168
30,"posterior","tv",7.62803342680322,8,0.0924533726874175
31,"prior","bas",7.42562219319647,8,0.111233629842274
