value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
5,3,0.014455139205103202,pos_neg_null,mov,1,1,9
5,2,0.009259661445252412,pos_neg_null,mov,1,1,9
5,1,0.0054173547761625016,pos_neg_null,mov,1,1,9
1,1,6.978561072898521e-12,pos_neg_null,mov,1,1,9
6,6,0.016190200715367493,pos_neg_null,mov,1,1,9
6,5,0.01777993470977958,pos_neg_null,mov,1,1,9
6,4,0.016698835978118092,pos_neg_null,mov,1,1,9
6,3,0.012960386367592554,pos_neg_null,mov,1,1,9
6,2,0.008302153874879595,pos_neg_null,mov,1,1,9
6,1,0.004857166021936452,pos_neg_null,mov,1,1,9
7,7,0.013788437191518496,pos_neg_null,mov,1,1,9
7,6,0.013872698007208842,pos_neg_null,mov,1,1,9
7,5,0.013702853344850507,pos_neg_null,mov,1,1,9
7,4,0.012869659207016404,pos_neg_null,mov,1,1,9
7,3,0.009988466020071328,pos_neg_null,mov,1,1,9
7,2,0.006398403529079535,pos_neg_null,mov,1,1,9
7,1,0.00374337896941643,pos_neg_null,mov,1,1,9
8,8,0.01196997660300209,pos_neg_null,mov,1,1,9
8,7,0.01197548593856446,pos_neg_null,mov,1,1,9
8,6,0.011943220643530148,pos_neg_null,mov,1,1,9
8,5,0.01179699874230968,pos_neg_null,mov,1,1,9
8,4,0.011079689000406729,pos_neg_null,mov,1,1,9
8,3,0.008599225147561415,pos_neg_null,mov,1,1,9
8,2,0.0055084847283800925,pos_neg_null,mov,1,1,9
8,1,0.0032227329507828065,pos_neg_null,mov,1,1,9
15,1,0.002992066993160318,pos_neg_null,mov,1,1,9
15,6,0.011088388900128206,pos_neg_null,mov,1,1,9
15,2,0.005114216905285408,pos_neg_null,mov,1,1,9
15,15,0.011125348330127249,pos_neg_null,mov,1,1,9
15,14,0.011125348322672295,pos_neg_null,mov,1,1,9
15,13,0.011125348136494977,pos_neg_null,mov,1,1,9
15,12,0.011125346334503532,pos_neg_null,mov,1,1,9
15,11,0.011125335565743187,pos_neg_null,mov,1,1,9
15,10,0.01112528235874831,pos_neg_null,mov,1,1,9
15,9,0.011125033761004516,pos_neg_null,mov,1,1,9
15,8,0.011123837495951836,pos_neg_null,mov,1,1,9
15,7,0.01111834481821732,pos_neg_null,mov,1,1,9
15,5,0.01095263277915869,pos_neg_null,mov,1,1,9
15,4,0.010286664225326503,pos_neg_null,mov,1,1,9
15,3,0.007983738685057033,pos_neg_null,mov,1,1,9
9,8,0.010021254484238523,pos_neg_null,mov,1,1,9
9,4,0.009267060943080467,pos_neg_null,mov,1,1,9
9,9,0.010021171237660545,pos_neg_null,mov,1,1,9
9,7,0.010016306234913824,pos_neg_null,mov,1,1,9
9,6,0.009989319515754247,pos_neg_null,mov,1,1,9
9,5,0.00986701939796453,pos_neg_null,mov,1,1,9
9,3,0.007192398947551362,pos_neg_null,mov,1,1,9
9,2,0.004607301132735092,pos_neg_null,mov,1,1,9
9,1,0.0026954964762171104,pos_neg_null,mov,1,1,9
10,10,0.008821673090463552,pos_neg_null,mov,1,1,9
10,6,0.008792555074991496,pos_neg_null,mov,1,1,9
10,9,0.008821612673924253,pos_neg_null,mov,1,1,9
10,5,0.008684907049553114,pos_neg_null,mov,1,1,9
10,4,0.008156826257968122,pos_neg_null,mov,1,1,9
10,3,0.006330717900045195,pos_neg_null,mov,1,1,9
10,1,0.002372564135545618,pos_neg_null,mov,1,1,9
10,2,0.00405532618040251,pos_neg_null,mov,1,1,9
10,8,0.008820664093706269,pos_neg_null,mov,1,1,9
10,7,0.008816308666427798,pos_neg_null,mov,1,1,9
13,12,0.008380767503084138,pos_neg_null,mov,1,1,9
13,8,0.008379630889020967,pos_neg_null,mov,1,1,9
13,9,0.008380532040228051,pos_neg_null,mov,1,1,9
13,10,0.008380719309894081,pos_neg_null,mov,1,1,9
13,4,0.007748984945069724,pos_neg_null,mov,1,1,9
13,6,0.008352927321241932,pos_neg_null,mov,1,1,9
13,13,0.008380768740319799,pos_neg_null,mov,1,1,9
13,11,0.008380759390934274,pos_neg_null,mov,1,1,9
13,7,0.008375493233106419,pos_neg_null,mov,1,1,9
13,5,0.008250661697075468,pos_neg_null,mov,1,1,9
13,1,0.00225393592876834,pos_neg_null,mov,1,1,9
13,3,0.006014182005042943,pos_neg_null,mov,1,1,9
13,2,0.00385255987138239,pos_neg_null,mov,1,1,9
11,6,0.008181960972561535,pos_neg_null,mov,1,1,9
11,3,0.00589108471254206,pos_neg_null,mov,1,1,9
11,11,0.008209206866486594,pos_neg_null,mov,1,1,9
11,8,0.008208117976087783,pos_neg_null,mov,1,1,9
11,9,0.008209000682679518,pos_neg_null,mov,1,1,9
11,4,0.007590379990053672,pos_neg_null,mov,1,1,9
11,5,0.008081788504445263,pos_neg_null,mov,1,1,9
11,7,0.008204065009036983,pos_neg_null,mov,1,1,9
11,1,0.0022078027372438402,pos_neg_null,mov,1,1,9
11,10,0.008209184119340688,pos_neg_null,mov,1,1,9
11,2,0.003773706306763449,pos_neg_null,mov,1,1,9
12,1,0.002201212281311776,pos_neg_null,mov,1,1,9
12,9,0.008184496203029754,pos_neg_null,mov,1,1,9
12,7,0.008179575262741377,pos_neg_null,mov,1,1,9
12,10,0.008184679092118802,pos_neg_null,mov,1,1,9
12,6,0.008157537208464363,pos_neg_null,mov,1,1,9
12,3,0.005873499385041949,pos_neg_null,mov,1,1,9
12,4,0.007567722139337119,pos_neg_null,mov,1,1,9
12,2,0.0037624415118178993,pos_neg_null,mov,1,1,9
12,12,0.008184724399541786,pos_neg_null,mov,1,1,9
12,8,0.008183616131383064,pos_neg_null,mov,1,1,9
12,11,0.008184718235590803,pos_neg_null,mov,1,1,9
12,5,0.008057663762640967,pos_neg_null,mov,1,1,9
14,8,0.008159114286678313,pos_neg_null,mov,1,1,9
14,6,0.008133113444367155,pos_neg_null,mov,1,1,9
14,10,0.008160174064896879,pos_neg_null,mov,1,1,9
14,7,0.008155085516445735,pos_neg_null,mov,1,1,9
14,3,0.0058559140575418205,pos_neg_null,mov,1,1,9
14,14,0.008160222444921946,pos_neg_null,mov,1,1,9
14,4,0.007545064288620532,pos_neg_null,mov,1,1,9
14,12,0.008160220989845092,pos_neg_null,mov,1,1,9
14,9,0.008159991723379955,pos_neg_null,mov,1,1,9
14,11,0.008160213091172857,pos_neg_null,mov,1,1,9
14,1,0.0021946218253797024,pos_neg_null,mov,1,1,9
14,13,0.008160222311570087,pos_neg_null,mov,1,1,9
14,2,0.003751176716872332,pos_neg_null,mov,1,1,9
14,5,0.008033539020836644,pos_neg_null,mov,1,1,9
3,1,0.00797070954821754,pos_neg_null,mov,1,1,8
3,3,0.000019404210601924086,pos_neg_null,mov,1,1,8
3,2,0.012941318783886971,pos_neg_null,mov,1,1,8
4,3,0.017390885122395467,pos_neg_null,mov,1,1,8
4,2,0.011297803950945892,pos_neg_null,mov,1,1,8
4,1,0.006958449546719764,pos_neg_null,mov,1,1,8
4,4,0.0007347631816757142,pos_neg_null,mov,1,1,8
2,2,9.78661160633545e-8,pos_neg_null,mov,1,1,8
2,1,0.0064221528571845165,pos_neg_null,mov,1,1,8
5,5,0.007307897181572585,pos_neg_null,mov,1,1,8
5,4,0.018287954910266236,pos_neg_null,mov,1,1,8
5,3,0.013771972611376767,pos_neg_null,mov,1,1,8
5,2,0.008946815845546737,pos_neg_null,mov,1,1,8
5,1,0.005510448484974615,pos_neg_null,mov,1,1,8
1,1,7.980363078411097e-11,pos_neg_null,mov,1,1,8
6,6,0.015973619889367997,pos_neg_null,mov,1,1,8
6,5,0.01787124707748007,pos_neg_null,mov,1,1,8
6,4,0.016396864682318983,pos_neg_null,mov,1,1,8
6,3,0.012347863521392565,pos_neg_null,mov,1,1,8
6,2,0.008021658489255408,pos_neg_null,mov,1,1,8
6,1,0.004940633252343421,pos_neg_null,mov,1,1,8
7,7,0.013927790889800978,pos_neg_null,mov,1,1,8
7,6,0.014059425798006155,pos_neg_null,mov,1,1,8
7,5,0.013773227055642732,pos_neg_null,mov,1,1,8
7,4,0.012636932346753319,pos_neg_null,mov,1,1,8
7,3,0.009516399566012185,pos_neg_null,mov,1,1,8
7,2,0.006182227980864426,pos_neg_null,mov,1,1,8
7,1,0.0038077064957002266,pos_neg_null,mov,1,1,8
8,8,0.012158849977134182,pos_neg_null,mov,1,1,8
8,7,0.012169521371826421,pos_neg_null,mov,1,1,8
8,6,0.012103977491593327,pos_neg_null,mov,1,1,8
8,5,0.011857584560227634,pos_neg_null,mov,1,1,8
8,4,0.010879330840778835,pos_neg_null,mov,1,1,8
8,3,0.008192815823556266,pos_neg_null,mov,1,1,8
8,2,0.005322375849723067,pos_neg_null,mov,1,1,8
8,1,0.003278113514784171,pos_neg_null,mov,1,1,8
15,1,0.003043483713112508,pos_neg_null,mov,1,1,8
15,6,0.011237639634321821,pos_neg_null,mov,1,1,8
15,2,0.004941428703014877,pos_neg_null,mov,1,1,8
15,15,0.011316530184178055,pos_neg_null,mov,1,1,8
15,14,0.011316530096311297,pos_neg_null,mov,1,1,8
15,13,0.01131652858270521,pos_neg_null,mov,1,1,8
15,12,0.011316517441007054,pos_neg_null,mov,1,1,8
15,11,0.011316463858817445,pos_neg_null,mov,1,1,8
15,10,0.01131624457460174,pos_neg_null,mov,1,1,8
15,9,0.011315385364919718,pos_neg_null,mov,1,1,8
15,8,0.011311912503553598,pos_neg_null,mov,1,1,8
15,7,0.01129849223478364,pos_neg_null,mov,1,1,8
15,5,0.011008882188841199,pos_neg_null,mov,1,1,8
15,4,0.010100646629271149,pos_neg_null,mov,1,1,8
15,3,0.007606417962974542,pos_neg_null,mov,1,1,8
9,8,0.01019068769593263,pos_neg_null,mov,1,1,8
9,4,0.009099481214475543,pos_neg_null,mov,1,1,8
9,9,0.010190584843356203,pos_neg_null,mov,1,1,8
9,7,0.01017859763001432,pos_neg_null,mov,1,1,8
9,6,0.010123776674972733,pos_neg_null,mov,1,1,8
9,5,0.00991769342563005,pos_neg_null,mov,1,1,8
9,3,0.006852477856512284,pos_neg_null,mov,1,1,8
9,2,0.00445163951439005,pos_neg_null,mov,1,1,8
9,1,0.0027418168252489284,pos_neg_null,mov,1,1,8
10,10,0.008972757611055508,pos_neg_null,mov,1,1,8
10,6,0.008910903674792608,pos_neg_null,mov,1,1,8
10,9,0.008972552271742483,pos_neg_null,mov,1,1,8
10,5,0.008729510105689023,pos_neg_null,mov,1,1,8
10,4,0.008009323318364764,pos_neg_null,mov,1,1,8
10,3,0.006031520851697852,pos_neg_null,mov,1,1,8
10,1,0.0024133351029085853,pos_neg_null,mov,1,1,8
10,2,0.003918313508998566,pos_neg_null,mov,1,1,8
10,8,0.008969798460967578,pos_neg_null,mov,1,1,8
10,7,0.008959156838154396,pos_neg_null,mov,1,1,8
13,12,0.00852477745556035,pos_neg_null,mov,1,1,8
13,8,0.00852130853791921,pos_neg_null,mov,1,1,8
13,9,0.00852392465815537,pos_neg_null,mov,1,1,8
13,10,0.008524571904215386,pos_neg_null,mov,1,1,8
13,4,0.007608857152446529,pos_neg_null,mov,1,1,8
13,6,0.00846535849105298,pos_neg_null,mov,1,1,8
13,13,0.008524784939092903,pos_neg_null,mov,1,1,8
13,11,0.008524737091884494,pos_neg_null,mov,1,1,8
13,7,0.008511198996246678,pos_neg_null,mov,1,1,8
13,5,0.00829303460040459,pos_neg_null,mov,1,1,8
13,1,0.002292668347763161,pos_neg_null,mov,1,1,8
13,3,0.005729944809112967,pos_neg_null,mov,1,1,8
13,2,0.0037223978335486456,pos_neg_null,mov,1,1,8
11,6,0.00829209091959868,pos_neg_null,mov,1,1,8
11,3,0.00561266523699661,pos_neg_null,mov,1,1,8
11,11,0.008350182029552407,pos_neg_null,mov,1,1,8
11,8,0.008346895790067055,pos_neg_null,mov,1,1,8
11,9,0.008349458363982593,pos_neg_null,mov,1,1,8
11,4,0.007453120310144993,pos_neg_null,mov,1,1,8
11,5,0.00812329412612729,pos_neg_null,mov,1,1,8
11,7,0.008336993168838115,pos_neg_null,mov,1,1,8
11,1,0.0022457423874288236,pos_neg_null,mov,1,1,8
11,10,0.008350092362316227,pos_neg_null,mov,1,1,8
11,2,0.003646208404207004,pos_neg_null,mov,1,1,8
12,1,0.0022390386788096405,pos_neg_null,mov,1,1,8
12,9,0.008324534607672225,pos_neg_null,mov,1,1,8
12,7,0.00831210662206549,pos_neg_null,mov,1,1,8
12,10,0.00832516671347352,pos_neg_null,mov,1,1,8
12,6,0.008267338409390944,pos_neg_null,mov,1,1,8
